2020-11-30 	Csn 		-607,00	18 108,76
2020-11-30 	Gbg energi 		-201,00	18 715,76
2020-11-30 	Folksam 		-185,00	18 916,76
2020-11-30 	Akad.a-kassa 		-140,00	19 101,76
2020-11-30 	Frisktandv 		-98,00	19 241,76
2020-11-30 	Entercard group ab 		-12 500,00	19 339,76
2020-11-27 	Lån 41667680 		-5 170,00	31 839,76
2020-11-27 	56990473967 		-1 469,00	37 009,76
2020-11-27 	Enkla vardag 		-35,00	38 478,76
2020-11-27 	Lön 	30 283,00		38 513,76
2020-11-27 	Brf cyklisten 		-2 618,00	8 230,76
2020-11-25 	Skandia liv 	260,00		10 848,76
2020-11-24 	Västtrafik a 		-68,00	10 588,76
2020-11-24 	015256001582 	234,03		10 656,76
2020-11-23 	Västtrafik a 		-68,00	10 422,73
2020-11-20 	Västtrafik a 		-68,00	10 490,73
2020-11-19 	46704891569 	272,00		10 558,73
2020-11-18 	Västtrafik a 		-68,00	10 286,73
2020-11-18 	Pension 	975,00		10 354,73
2020-11-13 	Västtrafik a 		-68,00	9 379,73
2020-11-10 	Västtrafik a 		-68,00	9 447,73
2020-11-10 	Avanza bank 		-100,00	9 515,73
2020-11-09 	Västtrafik a 		-68,00	9 615,73
2020-11-09 	Västtrafik a 	68,00		9 683,73
2020-11-09 	Västtrafik a 		-68,00	9 615,73
2020-11-02 	Gbg energi 		-200,00	9 683,73
2020-11-02 	Dinel 		-117,00	9 883,73
